Family,Species,French Name,Latin Name,Species Code,Num
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Rock Sandpiper,Bécasseau des Aléoutiennes,Calidris ptilocnemis,ROSA,2
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Purple Sandpiper,Bécasseau violet,Calidris maritima,PUSA,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Baird's Sandpiper,Bécasseau de Baird,Calidris bairdii,BASA,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Least Sandpiper,Bécasseau minuscule,Calidris minutilla,LESA,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",White-rumped Sandpiper,Bécasseau à croupion blanc,Calidris fuscicollis,WRSA,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Pectoral Sandpiper,Bécasseau à poitrine cendrée,Calidris melanotos,PESA,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Semipalmated Sandpiper,Bécasseau semipalmé,Calidris pusilla,SESA,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Western Sandpiper,Bécasseau d'Alaska,Calidris mauri,WESA,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Short-billed Dowitcher,Bécassin roux,Limnodromus griseus,SBDO,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Long-billed Dowitcher,Bécassin à long bec,Limnodromus scolopaceus,LBDO,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",American Woodcock,Bécasse d'Amérique,Scolopax minor,AMWO,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Wilson's Snipe,Bécassine de Wilson,Gallinago delicata,WISN,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Spotted Sandpiper,Chevalier grivelé,Actitis macularius,SPSA,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Solitary Sandpiper,Chevalier solitaire,Tringa solitaria,SOSA,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Wandering Tattler,Chevalier errant,Tringa incana,WATA,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Lesser Yellowlegs,Petit Chevalier,Tringa flavipes,LEYE,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Willet,Chevalier semipalmé,Tringa semipalmata,WILL,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Greater Yellowlegs,Grand Chevalier,Tringa melanoleuca,GRYE,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Wilson's Phalarope,Phalarope de Wilson,Phalaropus tricolor,WIPH,1
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Red-necked Phalarope,Phalarope à bec étroit,Phalaropus lobatus,RNPH,1
Skuas and Jaegers (Stercorariidae),Great Skua,Grand Labbe,Stercorarius skua,GRSK,3
