Hummingbirds (Trochilidae),Bumblebee Hummingbird,Colibri héloïse,Selasphorus heloisa,BUHU,5
Hummingbirds (Trochilidae),Broad-billed Hummingbird,Colibri circé,Cynanthus latirostris,BBIH,2
Hummingbirds (Trochilidae),White-eared Hummingbird,Saphir à oreilles blanches,Basilinna leucotis,WEHU,3
Hummingbirds (Trochilidae),Xantus's Hummingbird,Saphir de Xantus,Basilinna xantusii,XAHU,5
Hummingbirds (Trochilidae),Violet-crowned Hummingbird,Ariane à couronne violette,Leucolia (Ramosomyia) violiceps,VCHU,2
Hummingbirds (Trochilidae),Berylline Hummingbird,Ariane béryl,Saucerottia beryllina,BEHU,3
Hummingbirds (Trochilidae),Cinnamon Hummingbird,Ariane cannelle,Amazilia rutila,CIHU,5
Hummingbirds (Trochilidae),Buff-bellied Hummingbird,Ariane du Yucatan,Amazilia yucatanensis,BBEH,2
"Rails, Gallinules, and Coots (Rallidae)",Paint-billed Crake,Râle à bec peint,Mustelirallus (Neocrex) erythrops,PBCR,5
"Rails, Gallinules, and Coots (Rallidae)",Spotted Rail,Râle tacheté,Pardirallus maculatus,SPRA,5
"Rails, Gallinules, and Coots (Rallidae)",Rufous-necked Wood-Rail,Râle à cou roux,Aramides axillaris,RNWR,5
"Rails, Gallinules, and Coots (Rallidae)",Ridgway's Rail,Râle de Californie,Rallus obsoletus,RIRA,2
"Rails, Gallinules, and Coots (Rallidae)",King Rail,Râle élégant,Rallus elegans,KIRA,1
"Rails, Gallinules, and Coots (Rallidae)",Clapper Rail,Râle tapageur,Rallus crepitans,CLRA,1
"Rails, Gallinules, and Coots (Rallidae)",Virginia Rail,Râle de Virginie,Rallus limicola,VIRA,1
"Rails, Gallinules, and Coots (Rallidae)",Corn Crake,Râle des genêts,Crex crex,CORC,4
"Rails, Gallinules, and Coots (Rallidae)",Sora,Marouette de Caroline,Porzana carolina,SORA,1
"Rails, Gallinules, and Coots (Rallidae)",Common Gallinule,Gallinule d'Amérique,Gallinula galeata,COGA,1
"Rails, Gallinules, and Coots (Rallidae)",Eurasian (Common) Moorhen,Gallinule poule-d’eau,Gallinula chloropus,COMO,5
"Rails, Gallinules, and Coots (Rallidae)",Eurasian Coot,Foulque macroule,Fulica atra,EUCO,5
"Rails, Gallinules, and Coots (Rallidae)",Hawaiian Coot,Foulque des Hawaï,Fulica alai,HACO,2
"Rails, Gallinules, and Coots (Rallidae)",American Coot,Foulque d'Amérique,Fulica americana,AMCO,1
"Rails, Gallinules, and Coots (Rallidae)",Purple Gallinule,Talève violacée,Porphyrio martinica (martinicus),PUGA,1
"Rails, Gallinules, and Coots (Rallidae)",Gray-headed (Purple) Swamphen,Talève sultane,Porphyrio poliocephalus (porphyrio),PUSW,2
"Rails, Gallinules, and Coots (Rallidae)",Yellow Rail,Râle jaune,Coturnicops noveboracensis,YERA,2
"Rails, Gallinules, and Coots (Rallidae)",Black Rail,Râle noir,Laterallus jamaicensis,BLRA,2
"Rails, Gallinules, and Coots (Rallidae)",Laysan Rail,Marouette de Laysan,Zapornia palmeri,LARA,6
"Rails, Gallinules, and Coots (Rallidae)",Hawaiian Rail,Marouette des Hawaï,Zapornia sandwichensis,HARA,6
Sungrebes (Heliornithidae),Sungrebe,Grébifoulque d'Amérique,Heliornis fulica,SUNG,5
Limpkins (Aramidae),Limpkin,Courlan brun,Aramus guarauna,LIMP,2
Cranes (Gruidae),Sandhill Crane,Grue du Canada,Antigone canadensis,SACR,1
Cranes (Gruidae),Common Crane,Grue cendrée,Grus grus,CCRA,4
Cranes (Gruidae),Hooded Crane,Grue à capuchon,Grus monacha,HOCR,5
